Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version M-2017.03-SP1_Full64; Runtime version M-2017.03-SP1_Full64;  Nov 17 16:09 2019
VCD+ Writer M-2017.03-SP1_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
The file '/home/student/jkw0002/CPE527L/PROJECT/28nm/vcs_post_par/inter.vpd' was opened successfully.
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version M-2017.03-SP1_Full64; Runtime version M-2017.03-SP1_Full64;  Nov 17 16:09 2019
VCS Build Date = May 23 2017 20:49:19
Start run at Nov 17 16:09 2019
VCD+ Writer M-2017.03-SP1_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
The file '/home/student/jkw0002/CPE527L/PROJECT/28nm/vcs_post_par/inter.vpd' was opened successfully.
time=    0 ns, clk=0, reset=1, memdata=xxxxxxxx, memread=x, memwrite=x, addr=xxxxxxxx, writedata=xxxxxxxx, pcout=xxxxxxxx, regwrite=x, wrAddr=xxxxx, rdAddr1=xxxxx, rdAddr2=xxxxx, wrData=xxxxxxxx, Ain=xxxxxxxx, Bin=xxxxxxxx
time=  288 ns, clk=1, reset=1, memdata=xxxxxxxx, memread=x, memwrite=x, addr=xxxxxxxx, writedata=xxxxxxxx, pcout=xxxxxxxx, regwrite=x, wrAddr=xxxxx, rdAddr1=xxxxx, rdAddr2=xxxxx, wrData=xxxxxxxx, Ain=xxxxxxxx, Bin=xxxxxxxx
time=  288 ns, clk=1, reset=1, memdata=xxxxxxxx, memread=x, memwrite=x, addr=xxxxxxxx, writedata=xxxxxXxX, pcout=xXXXXXXx, regwrite=x, wrAddr=xxxxx, rdAddr1=xxxxx, rdAddr2=xxxxx, wrData=xxxxxxxx, Ain=xxxxxxxx, Bin=xxxxxxxx
time=  288 ns, clk=1, reset=1, memdata=xxxxxxxx, memread=x, memwrite=x, addr=xxxxxxxx, writedata=00000000, pcout=00000000, regwrite=x, wrAddr=xxxxx, rdAddr1=00000, rdAddr2=00000, wrData=xxxxxxxx, Ain=xxxxxxxx, Bin=xxxxxxxx
time=  288 ns, clk=1, reset=1, memdata=xxxxxxxx, memread=x, memwrite=0, addr=xxxxxxxx, writedata=00000000, pcout=00000000, regwrite=x, wrAddr=xxxxx, rdAddr1=00000, rdAddr2=00000, wrData=xxxxxxxx, Ain=xxxxxxxx, Bin=xxxxxxxx
time=  288 ns, clk=1, reset=1, memdata=xxxxxxxx, memread=x, memwrite=0, addr=xXXxXxXx, writedata=00000000, pcout=00000000, regwrite=x, wrAddr=xxxxx, rdAddr1=00000, rdAddr2=00000, wrData=xxxxxxxx, Ain=xxxxxxxx, Bin=xxxxxxxx
time=  288 ns, clk=1, reset=1, memdata=xxxxxxxx, memread=x, memwrite=0, addr=xXXxXxXx, writedata=00000000, pcout=00000000, regwrite=0, wrAddr=xxxxx, rdAddr1=00000, rdAddr2=00000, wrData=xxxxxxxx, Ain=xxxxxxxx, Bin=xxxxxxxx
time=  288 ns, clk=1, reset=1, memdata=xxxxxxxx, memread=x, memwrite=0, addr=xXXXXXXx, writedata=00000000, pcout=00000000, regwrite=0, wrAddr=xxxxx, rdAddr1=00000, rdAddr2=00000, wrData=xxxxxxxx, Ain=xxxxxxxx, Bin=xxxxxxxx
time=  288 ns, clk=1, reset=1, memdata=xxxxxxxx, memread=x, memwrite=0, addr=xXXXXXXx, writedata=00000000, pcout=00000000, regwrite=0, wrAddr=xxxxx, rdAddr1=00000, rdAddr2=00000, wrData=xxxxxxX0, Ain=xxxxxxxx, Bin=xxxxxxxx
time=  288 ns, clk=1, reset=1, memdata=xxxxxxxx, memread=x, memwrite=0, addr=xXXXXXXx, writedata=00000000, pcout=00000000, regwrite=0, wrAddr=x0000, rdAddr1=00000, rdAddr2=00000, wrData=xXxXXxX0, Ain=xxxxxxxx, Bin=xxxxxxxx
time=  288 ns, clk=1, reset=1, memdata=xxxxxxxx, memread=x, memwrite=0, addr=xXXXXXXx, writedata=00000000, pcout=00000000, regwrite=0, wrAddr=00000, rdAddr1=00000, rdAddr2=00000, wrData=xXxXXxX0, Ain=xxxxxxxx, Bin=xxxxxxxx
